,N Most Traded,Momentum
2020-08-17 00:00:00,498.4233080625744,1306.8025130083547
2020-08-18 00:00:00,489.3212872351174,1288.4413463578942
2020-08-19 00:00:00,473.93968968941,1296.1673562333467
2020-08-20 00:00:00,479.27593649245523,1331.9467207099644
2020-08-21 00:00:00,461.7211836020048,1300.6355074235423
2020-08-22 00:00:00,467.0734898494852,1294.967113427006
2020-08-23 00:00:00,466.122269577201,1292.8030691277866
2020-08-24 00:00:00,474.6316294320628,1303.9882974527452
2020-08-25 00:00:00,456.5325019566796,1315.0750744603267
2020-08-26 00:00:00,457.5638633894635,1305.4522303323636
2020-08-27 00:00:00,447.46007037763735,1269.6989515625119
2020-08-28 00:00:00,456.9203067367255,1306.7727239792334
2020-08-29 00:00:00,458.367681834818,1320.9683579087234
2020-08-30 00:00:00,477.9197304314815,1354.3467966400124
2020-08-31 00:00:00,476.4693219039122,1445.4028808224664
2020-09-01 00:00:00,495.56768713387606,1458.8827922593346
2020-09-02 00:00:00,469.0743115734807,1459.9404776153494
2020-09-03 00:00:00,421.4076290248414,1352.491729436964
2020-09-04 00:00:00,432.1961649677192,1328.6951921004097
2020-09-05 00:00:00,405.97417693202937,1297.7447834226543
2020-09-06 00:00:00,413.29107470155606,1297.6510544316734
2020-09-07 00:00:00,415.3856004169921,1295.3661067950652
2020-09-08 00:00:00,405.7475444836795,1301.1387788470931
2020-09-09 00:00:00,411.8284933070009,1298.632648592609
2020-09-10 00:00:00,419.48938790051056,1341.5842801242022
2020-09-11 00:00:00,421.863280747871,1344.9829731223392
2020-09-12 00:00:00,429.5293193868964,1358.9478348683338
2020-09-13 00:00:00,416.8449292151874,1334.1690116925597
2020-09-14 00:00:00,425.90642319935677,1330.0546561038866
2020-09-15 00:00:00,422.05669109578184,1290.196168945489
2020-09-16 00:00:00,424.34067609954724,1281.309778839155
2020-09-17 00:00:00,432.55106839639865,1278.4841397241528
2020-09-18 00:00:00,430.03270090531555,1268.8592773373584
2020-09-19 00:00:00,432.41594706986336,1274.5511148568623
2020-09-20 00:00:00,423.4944328823575,1275.9088097435972
2020-09-21 00:00:00,401.49382484981624,1244.391050285485
2020-09-22 00:00:00,405.1509981319463,1265.7699017072791
2020-09-23 00:00:00,390.4030645948093,1252.3049116459204
2020-09-24 00:00:00,408.8405335364624,1314.7784800618765
2020-09-25 00:00:00,414.1782636237772,1303.440582652623
2020-09-26 00:00:00,415.65876921878225,1289.3379634802925
2020-09-27 00:00:00,416.2716896670302,1294.631475806262
2020-09-28 00:00:00,413.73908862210584,1271.1066556596704
2020-09-29 00:00:00,416.92099195397293,1290.3440412362108
2020-09-30 00:00:00,417.36402973579106,1303.1693579614391
2020-10-01 00:00:00,412.9388685647223,1286.8493185405634
2020-10-02 00:00:00,407.47354673442067,1284.1165415108155
2020-10-03 00:00:00,408.5349252582004,1300.5435769524895
2020-10-04 00:00:00,417.96614794142914,1322.1144289611052
2020-10-05 00:00:00,419.28760690501974,1313.147396684827
2020-10-06 00:00:00,412.4433504322061,1274.1035360240433
2020-10-07 00:00:00,415.31245498199894,1277.1711125279592
2020-10-08 00:00:00,421.40306169653996,1282.8746763619167
2020-10-09 00:00:00,421.40306169653996,1282.8746763619167
2020-10-10 00:00:00,432.79318775129525,1301.9693302938886
2020-10-11 00:00:00,438.1104634546658,1304.439404798278
2020-10-12 00:00:00,438.1104634546658,1304.439404798278
2020-10-13 00:00:00,438.1104634546658,1304.439404798278
2020-10-14 00:00:00,435.82616489842945,1304.0494556829703
2020-10-15 00:00:00,433.9923054341731,1294.4990977809828
2020-10-16 00:00:00,425.0349697960186,1269.8045177875902
2020-10-17 00:00:00,424.9188038617065,1269.037003910669
2020-10-18 00:00:00,429.49740141760486,1263.7625201518454
2020-10-19 00:00:00,434.02006635016494,1257.082531453883
2020-10-20 00:00:00,430.1179124711294,1244.5486998417039
2020-10-21 00:00:00,455.91294081437843,1249.8521174055222
2020-10-22 00:00:00,465.85640346518284,1266.186901589737
2020-10-23 00:00:00,465.63536213435884,1272.424111207818
2020-10-24 00:00:00,474.6110478770248,1296.8466190641004
